,ll_point,ur_point,other_point,polygon
2018-01-01 01:00:00,0.0,0.0,0.0,0.003574916294642857
2018-01-01 02:00:00,1.2000000476837158,1.100000023841858,1.2200000286102295,1.1550000054495675
2018-01-01 03:00:00,0.16999995708465576,0.44999992847442627,0.48000001907348633,0.3517857279096331
2018-01-01 04:00:00,0.009999990463256836,0.019999980926513672,0.019999980926513672,0.01321427311216082
2018-01-01 05:00:00,0.029999971389770508,0.019999980926513672,0.009999990463256836,0.02714283125741141
2018-01-01 06:00:00,0.019999980926513672,0.019999980926513672,0.019999980926513672,0.019999980926513672
2018-01-01 07:00:00,0.0,0.0,0.0,0.0
2018-01-01 08:00:00,0.0,0.0,0.0,0.0
2018-01-01 09:00:00,0.0,0.0,0.0,0.0
2018-01-01 10:00:00,0.0,0.0,0.0,0.0
2018-01-01 11:00:00,0.0,0.0,0.0,0.0
2018-01-01 12:00:00,0.0,0.0,0.0,0.0
2018-01-01 13:00:00,0.0,0.0,0.0,0.0
2018-01-01 14:00:00,0.0,0.0,0.0,0.0
2018-01-01 15:00:00,0.0,0.0,0.0,0.0
2018-01-01 16:00:00,0.5500000715255737,0.5299999713897705,0.09000003337860107,0.4864285673413958
2018-01-01 17:00:00,0.440000057220459,0.5799999237060547,0.19999992847442627,0.6189285687037877
2018-01-01 18:00:00,1.119999885559082,0.7899999618530273,0.5,0.9339285578046527
2018-01-01 19:00:00,0.809999942779541,1.200000286102295,0.5299999713897705,1.0100000245230538
2018-01-01 20:00:00,0.0,0.05000019073486328,0.0,0.000714285033089774
2018-01-01 21:00:00,0.19999980926513672,0.23999977111816406,0.16000008583068848,0.2575000013623919
2018-01-01 22:00:00,0.0,0.15000009536743164,0.039999961853027344,0.018571444920131137
2018-01-01 23:00:00,0.5199999809265137,0.019999980926513672,0.0,0.41785717010498047
2018-01-02 00:00:00,0.0,0.0,0.11999988555908203,0.002142855099269322
